city,year,month,T,RH,Precip,FF
Muscat,2011,Jan,21.5,65.3,10.5,4
Muscat,2011,Feb,22.8,59.1,,5.3
Muscat,2011,Mar,25.9,49.7,0.3,4.5
Muscat,2011,Apr,29.5,49.2,,4.8
Muscat,2011,May,35.1,37.5,,5
Muscat,2011,Jun,36.4,41.2,,4.7
Muscat,2011,Jul,33.6,56,,5
Muscat,2011,Aug,32.1,66,,5.4
Muscat,2011,Sep,32,60.3,,4.1
Muscat,2011,Oct,29.7,57.2,,4.2
Muscat,2011,Nov,26.3,67.8,42.9,3.5
Muscat,2011,Dec,22.1,57,,3.8
Muscat,2012,Jan,21.2,62,7.3,4.1
Muscat,2012,Feb,21.8,54,,4.8
Muscat,2012,Mar,25.3,46.7,,4.8
Muscat,2012,Apr,29.8,41.3,21,4.2
Muscat,2012,May,35.7,34.5,,5.4
Muscat,2012,Jun,36.6,38,,5
Muscat,2012,Jul,35.4,52.7,,5.1
Muscat,2012,Aug,34.6,58.5,,5.8
Muscat,2012,Sep,33.3,52.2,0.9,4.1
Muscat,2012,Oct,30,46.2,13.4,3.6
Muscat,2012,Nov,27,59.1,19,4.1
Muscat,2012,Dec,22.9,67.2,15,3.5
Muscat,2013,Jan,21.3,64.2,0,4.8
Muscat,2013,Feb,22.2,63,3.5,4.9
Muscat,2013,Mar,25.2,60.5,2,5.5
Muscat,2013,Apr,28.9,54.3,47.5,6.1
Muscat,2013,May,32.7,47,6.7,5.7
Muscat,2013,Jun,33.1,68.2,0,5.8
Muscat,2013,Jul,31.1,78,0,6
Muscat,2013,Aug,31.1,75,1.7,6.6
Muscat,2013,Sep,30.7,71.1,0,5.1
Muscat,2013,Oct,30.6,58.4,0,4.7
Muscat,2013,Nov,25.8,65,44.8,5.8
Muscat,2013,Dec,22.7,58.9,,5.3
Muscat,2014,Jan,20.1,62.1,11.6,4.3
Muscat,2014,Feb,21.1,59.3,31.1,4.5
Muscat,2014,Mar,24.5,63.2,13.3,5
Muscat,2014,Apr,30.5,46.3,1.7,4.8
Muscat,2014,May,34.5,36.9,6.5,4.9
Muscat,2014,Jun,36.6,40.6,0.2,5.2
Muscat,2014,Jul,33.8,61.3,3.2,4.9
Muscat,2014,Aug,31.7,66.4,0,4.9
Muscat,2014,Sep,32,60.8,1.3,4.5
Muscat,2014,Oct,30.4,52.9,9.1,4
Muscat,2014,Nov,26.1,55.2,9.8,4.1
Muscat,2014,Dec,22.7,58.7,0.2,3.6
Muscat,2015,Jan,21.3,55.6,20,3.9
Muscat,2015,Feb,24.6,49,1.8,5.2
Muscat,2015,Mar,25.4,52.1,2.4,4.5
Muscat,2015,Apr,32.1,36.3,0,4.3
